job_id,job_title,company_name,company_location,job_link
7cb5c3076d1701db,"Field Applications Engineer, Audio",Dolby,서울,https://kr.indeed.com/viewjob?jk=7cb5c3076d1701db
d17da0baecf05910,데이터 분야 경력,LG CNS,서울,https://kr.indeed.com/viewjob?jk=d17da0baecf05910
35f0a25dee5f3312,딥러닝 알고리즘 및 응용 Engineer,딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=35f0a25dee5f3312
8070498013c9b353,시스템 엔지니어 영입,카카오페이증권,성남 분당구,https://kr.indeed.com/viewjob?jk=8070498013c9b353
d83fc0dd2641f483,전문연구요원 (병역특례) 수시 (AI / SW 분야),딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=d83fc0dd2641f483
b1df05a19043bcc0,Wind Resource Analyst Offshore (KR),RWE Renewables Korea LLC,서울,https://kr.indeed.com/viewjob?jk=b1df05a19043bcc0
50c4c65ec72ca5be,[석유화학 대기업] Data Scientist,커리어라임즈,서울 서대문구,https://kr.indeed.com/viewjob?jk=50c4c65ec72ca5be
d71f1540b4d5aea9,2021 제조 장비 지능화 AI 융합 인재양성 과정 교육생,한국전자기술연구원,성남 분당구,https://kr.indeed.com/viewjob?jk=d71f1540b4d5aea9
55a19c92c845685e,Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e
2b2dcd3ffe3d53df,카카오 데이터의 가치를 발굴할 데이터 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=2b2dcd3ffe3d53df
a412d2ba7044dfb3,[취업연계/무료교육] 스마트자동화 전문가 양성과정 교육생,한국산업기술협회,서울,https://kr.indeed.com/viewjob?jk=a412d2ba7044dfb3
c6d7988f98427549,IT부분 신입 및 경력,하나펀드서비스,서울 중구,https://kr.indeed.com/viewjob?jk=c6d7988f98427549
441d45a99d2ff14d,"[데이터 분석가, 데이터 사이언티스트 (신입/경력)]",인피니그루,서울 성동구,https://kr.indeed.com/viewjob?jk=441d45a99d2ff14d
